iter	Passed	Remaining
0	1	1122
1	1	936
2	2	872
3	3	800
4	3	762
5	4	736
6	5	709
7	5	698
8	6	708
9	7	696
10	7	681
11	8	675
12	8	680
13	9	676
14	10	667
15	10	660
16	11	653
17	11	646
18	12	644
19	13	648
20	13	643
21	14	640
22	15	638
23	15	633
24	16	636
25	16	633
26	17	630
27	18	630
28	18	628
29	19	624
30	19	620
31	20	616
32	20	613
33	21	610
34	22	606
35	22	605
36	23	607
37	23	606
38	24	611
39	25	609
40	26	609
41	26	610
42	27	608
43	27	606
44	28	607
45	29	606
46	29	604
47	30	602
48	30	600
49	31	599
50	32	599
51	32	599
52	33	597
53	34	598
54	34	597
55	35	596
56	36	595
57	36	593
58	37	592
59	37	591
60	38	589
61	38	586
62	39	587
63	40	587
64	40	586
65	41	585
66	41	583
67	42	581
68	43	580
69	43	579
70	44	577
71	44	576
72	45	575
73	45	574
74	46	572
75	47	571
76	47	570
77	48	569
78	48	567
79	49	567
80	49	565
81	50	567
82	51	564
83	51	563
84	52	562
85	52	561
86	53	559
87	53	558
88	54	557
89	55	556
90	55	555
91	56	555
92	56	555
93	57	554
94	58	553
95	58	553
96	59	551
97	59	550
98	60	548
99	61	549
100	61	550
101	62	550
102	63	549
103	63	547
104	64	547
105	64	546
106	65	545
107	65	544
108	66	543
109	67	542
110	67	542
111	68	542
112	69	542
113	69	540
114	70	540
115	70	538
116	71	537
117	71	535
118	72	535
119	73	535
120	73	534
121	74	532
122	74	531
123	75	530
124	75	529
125	76	528
126	76	526
127	77	525
128	77	526
129	78	526
130	79	525
131	79	524
132	80	523
133	80	522
134	81	521
135	81	520
136	82	519
137	83	518
138	83	519
139	84	518
140	84	517
141	85	515
142	85	514
143	86	513
144	87	513
145	87	512
146	88	511
147	88	510
148	89	510
149	89	509
150	90	509
151	91	508
152	91	507
153	92	506
154	92	505
155	93	504
156	93	504
157	94	504
158	95	503
159	96	504
160	96	503
161	97	503
162	97	502
163	98	502
164	99	501
165	100	502
166	100	502
167	101	505
168	102	504
169	103	503
170	103	503
171	104	503
172	105	503
173	105	502
174	106	502
175	107	502
176	107	500
177	108	499
178	108	498
179	109	497
180	109	496
181	110	495
182	110	495
183	111	495
184	112	494
185	112	494
186	113	493
187	113	492
188	114	491
189	115	490
190	115	490
191	116	489
192	117	489
193	117	488
194	118	487
195	118	486
196	119	485
197	119	484
198	120	483
199	120	482
200	121	481
201	121	481
202	122	480
203	122	479
204	123	479
205	124	478
206	124	477
207	125	477
208	125	476
209	126	475
210	127	475
211	127	475
212	128	474
213	128	473
214	129	472
215	129	471
216	130	470
217	130	469
218	131	468
219	131	467
220	132	467
221	133	466
222	133	465
223	134	465
224	134	464
225	135	463
226	135	462
227	136	461
228	136	460
229	137	459
230	137	458
231	138	458
232	138	457
233	139	456
234	139	455
235	140	454
236	140	453
237	141	453
238	142	452
239	142	451
240	143	451
241	143	450
242	144	450
243	145	449
244	145	449
245	146	448
246	146	448
247	147	447
248	148	446
249	148	446
250	149	445
251	150	445
252	150	444
253	151	443
254	151	443
255	152	442
256	152	442
257	153	441
258	154	440
259	154	440
260	155	439
261	155	438
262	156	438
263	156	437
264	157	436
265	157	435
266	158	435
267	159	434
268	159	434
269	160	433
270	161	433
271	161	432
272	162	431
273	162	431
274	163	430
275	163	429
276	164	429
277	164	428
278	165	428
279	166	427
280	166	426
281	167	425
282	167	425
283	168	424
284	169	424
285	169	423
286	170	422
287	170	422
288	171	421
289	172	421
290	172	420
291	173	420
292	173	419
293	174	418
294	174	418
295	175	417
296	176	416
297	176	416
298	177	416
299	178	415
300	178	415
301	179	414
302	179	413
303	180	412
304	180	412
305	181	411
306	182	410
307	182	410
308	183	409
309	183	408
310	184	408
311	184	407
312	185	406
313	185	406
314	186	405
315	187	404
316	187	404
317	188	403
318	188	403
319	189	402
320	190	402
321	190	401
322	191	400
323	191	400
324	192	399
325	193	399
326	193	399
327	194	398
328	195	398
329	195	397
330	196	396
331	196	396
332	197	395
333	198	394
334	198	394
335	199	394
336	199	393
337	200	392
338	201	392
339	201	391
340	202	390
341	202	390
342	203	389
343	204	389
344	204	389
345	205	388
346	206	387
347	206	387
348	207	386
349	207	385
350	208	384
351	208	384
352	209	383
353	210	383
354	210	382
355	211	382
356	211	381
357	212	380
358	213	380
359	213	379
360	214	379
361	214	378
362	215	378
363	216	377
364	216	376
365	217	376
366	217	375
367	218	375
368	219	374
369	219	374
370	220	373
371	220	372
372	221	372
373	222	371
374	222	371
375	223	370
